Geneid,0P1,0P2,0P3,20P1,20P2,20P3,8P1,8P2,8P3
DID2,785,772,476,292,448,353,351,375,310
DID4,3817,4208,4008,2767,2951,3033,3677,3815,3077
DIE2,421,369,496,442,391,401,464,368,353
DIF1,1319,1303,1181,618,771,677,1165,876,865
DIG1,2499,1205,983,3488,3307,2820,4562,2085,3415
DIG2,638,854,507,560,539,350,918,562,613
DIM1,839,1184,848,804,670,640,789,512,646
DIN7,1064,1004,679,978,1337,1131,1505,1115,1209
DIP2,2667,2743,2543,1292,1346,1172,1593,1328,1172
DIP5,2039,1319,1029,8850,9795,9038,12287,7051,8617
DIS3,4850,5483,5219,2524,2514,2140,2509,2658,2122
DIT1,331,366,310,532,596,631,721,780,579
DIT2,459,563,393,304,499,324,615,468,498
DJP1,2011,2111,1985,1355,1497,1078,1554,1221,1277
DLD1,2970,2837,3034,6618,6309,5868,11027,9735,9156
DLD2,1121,814,974,513,746,742,1118,828,963
DLD3,4651,4495,3693,8143,8401,7302,14604,10237,11138
DLS1,892,996,918,1054,1510,1379,1955,1892,1770
DLT1,758,666,649,1094,924,775,1205,1255,965
DMA1,1697,1533,1263,2554,2564,2412,3336,2807,2588
DMA2,1755,2027,1880,2345,2769,2674,3364,2840,2712
DMC1,390,414,415,607,713,585,900,946,666
DML1,1265,1467,1341,846,1202,980,1522,1214,1221
DNA2,845,855,630,476,480,473,795,590,603
DNF1,4408,3939,3245,3448,3158,2867,4771,3446,3734
DNF2,5173,4513,3784,2250,2389,2270,3339,2660,2695
DNF3,3479,3209,3398,1780,2310,1748,2756,2022,1808
DNL4,1380,1610,1437,1755,2330,1845,2754,2031,2135
DNM1,2416,2118,2174,1838,1806,1784,2499,2333,2176
DOA1,1716,2068,1677,1994,1938,1559,2725,1983,1961
DOA4,971,976,587,1689,1641,1633,2531,1549,1800
DOC1,99,41,49,160,89,128,294,178,213
DOG1,1569,1955,1525,1667,1437,1182,1584,1651,1355
DOG2,3623,4303,4135,456,1012,737,1277,1435,876
DOM34,917,1261,1300,422,449,299,399,427,345
DON1,1307,1579,1286,1421,1950,1585,2352,2274,1879
DOP1,2150,2340,2195,1701,1819,1736,2294,1888,1979
DOS2,1279,1369,1402,616,579,585,982,1047,603
DOT1,621,712,517,410,336,351,417,381,302
DOT5,971,1266,740,803,720,610,876,1134,883
DOT6,4143,2934,1833,5970,6292,4913,8961,4573,6452
DPA10,224,236,187,373,499,465,570,500,535
DPB11,759,573,475,748,1082,757,1175,868,743
DPB2,661,578,746,389,659,397,645,524,695
DPB3,664,704,839,513,549,415,782,818,557
DPB4,1061,1154,1286,694,714,607,886,898,706
DPC13,742,902,875,341,557,424,509,565,507
DPC25,501,347,510,396,410,308,552,359,410
DPC29,1301,1440,1188,539,779,651,1007,775,840
DPC7,404,444,381,890,1733,1453,1174,1010,834
DPH1,3419,3436,3249,3330,3684,3303,3625,3219,2894
DPH2,2080,2122,1664,2055,2385,1968,3373,2552,2458
DPH5,2340,3101,2594,2970,3118,3117,3746,3438,2961
DPH6,555,670,833,273,362,339,457,455,494
DPI34,320,294,330,435,332,326,397,505,386
DPI35,1447,1790,1694,895,810,855,943,1006,757
DPI8,671,414,569,2832,3563,2818,4302,3898,3516
DPL1,2641,3138,2222,4325,5118,4768,6866,5545,5088
DPM1,5163,5241,4523,2785,3077,3038,3420,3504,3093
DPP1,1036,732,1013,612,950,802,1076,1098,950
DPS1,2433,1805,1815,2898,2973,2735,3869,3405,3203
DRE2,1528,1849,1333,1265,1238,1043,1717,1624,1472
DRN1,450,501,445,740,820,699,1099,896,786
DRS1,866,747,832,417,715,456,811,565,617
DRS2,2546,2520,1894,1090,1399,914,1345,1129,1116
DSC2,952,869,645,1865,2055,1790,3306,2459,2462
DSC3,915,792,866,1032,947,771,1447,1314,1331
DSD1,1620,1472,1360,2457,2739,2492,3025,2102,2620
DSE1,978,707,502,784,803,609,924,571,620
DSE2,1576,1030,891,1246,996,980,1678,1128,1268
DSE3,1334,1124,902,903,1063,729,1266,1072,907
DSE4,1815,1194,1239,975,1315,1021,1213,1003,780
DSF1,1684,1417,1333,2876,2851,2381,4036,3076,2924
DSF2,977,832,845,656,558,444,771,617,637
DSK2,2808,2026,1819,5389,5022,5270,9191,4869,7720
DSL1,2508,2457,2311,1320,1662,1165,1647,1803,1358
DSN1,216,311,92,408,282,374,784,584,847
DSS1,1237,1495,1124,466,719,662,586,602,556
DSS4,1259,1150,1086,1178,1144,875,1078,1331,1122
DST1,579,597,562,823,940,729,1334,1202,1351
DTD1,239,250,380,140,161,170,225,261,196
DTR1,215,204,126,198,254,129,268,134,260
DUF1,3389,3688,3617,3219,3174,2974,4635,3688,3240
DUG1,4024,3820,3667,6437,7046,6260,11323,8535,8704
DUG2,1547,1111,999,390,613,537,937,630,643
DUG3,392,423,371,1027,1017,789,1690,933,1228
DUN1,427,414,209,544,436,384,620,453,536
DUO1,1129,1240,1272,221,229,265,447,427,331
"DUR1,2",14900,15464,13510,4621,4815,3972,5607,4805,4392
DUR3,2302,1875,1270,2983,3627,2707,4032,2749,2691
DUS1,667,563,595,387,428,373,379,274,234
DUS3,2968,3023,2659,1583,1735,1694,1918,1931,1620
DUS4,2871,2929,2708,1174,1500,1181,1330,1191,925
DUT1,2876,3598,2980,937,795,969,1163,1141,1041
DXO1,2316,1923,1828,2034,1724,1559,2163,1688,1697
DYN1,4737,5601,4584,2458,2826,2237,3605,3281,3143
DYN2,1407,1582,1924,894,744,697,950,1182,697
DYN3,985,1086,941,932,920,782,863,765,759
DYS1,3296,4021,4115,1000,1333,1201,1218,1336,1025
EAF1,1063,634,616,1031,1248,1063,1262,876,1031
EAF3,6226,7988,7457,11092,9989,8891,12622,11322,10190
EAF5,562,399,587,306,435,356,577,339,496
EAF6,1094,1178,1067,694,1044,841,1011,854,981
EAF7,1305,923,1120,330,435,575,714,637,699
EAP1,597,612,589,316,610,513,912,516,589
EAR1,3056,2380,1944,4762,4228,3294,6497,5112,5069
EAT1,1198,904,1090,1408,1668,1235,1819,1539,1285
EBP2,1686,2399,2343,842,839,715,707,631,554
EBS1,2799,1907,1808,3348,3959,2890,5166,3669,4158
ECI1,880,848,530,2138,2325,2198,2447,1999,1844
ECL1,719,713,584,1436,1286,1013,2139,1472,1689
ECM1,473,725,695,579,409,389,386,385,366
ECM10,1106,1101,876,1700,1238,1224,1778,1365,1369
ECM11,19,42,32,63,87,21,111,137,106
ECM12,239,195,245,223,451,263,643,498,383
ECM13,716,592,517,1113,889,1119,1220,735,998
ECM14,2010,1821,1489,2386,2752,2684,3785,2987,2858
ECM15,3768,4992,4828,2261,2929,2782,2485,2555,2333
ECM16,914,701,725,490,457,530,715,515,528
ECM18,432,404,364,696,635,455,830,425,621
ECM19,668,634,464,330,433,356,473,383,405
ECM2,451,163,174,628,464,370,849,396,583
ECM21,2750,2699,2896,3991,5637,4779,5350,5037,4453
ECM22,1148,1402,1024,2415,2693,2314,2565,1800,1899
ECM23,9,0,0,121,34,52,97,70,42
ECM25,701,502,488,565,708,609,925,749,829
ECM27,609,637,522,926,1125,902,1028,678,819
ECM29,2492,2992,3177,1065,1179,1109,1479,1401,1034
ECM3,1000,652,558,901,1216,938,1963,1057,1486
ECM30,1241,1335,1020,1139,1158,1058,1413,1183,959
ECM31,567,535,421,440,676,449,692,656,631
ECM32,3482,3147,2948,3067,3195,3078,3811,3297,3138
ECM33,19091,18987,16763,8750,8976,7393,11876,8550,8503
ECM34,2030,1249,1073,2443,2669,2261,2401,1769,1650
ECM38,3106,3400,2895,5164,5116,4737,6431,5570,4576
ECM4,883,775,547,4779,4357,3836,4937,3791,3917
ECM5,4847,5865,5029,4691,5193,4014,4686,4358,3683
ECM7,1006,812,623,1012,1254,883,1172,829,940
ECM8,598,536,557,917,1040,933,1449,1023,943
ECM9,485,764,394,542,801,540,798,697,720
ECO1,464,415,350,186,219,141,348,275,296
ECT1,3432,3967,4401,2847,3327,2872,3961,3482,3175
EDC1,116,30,24,144,154,121,284,297,255
EDC2,981,1205,998,2463,2580,2052,1965,1939,1752
EDC3,2571,3146,2261,1793,2038,1736,2496,2126,1731
EDE1,6645,6928,5535,5138,5660,4680,6787,5443,5784
EDS1,2484,1905,1833,1751,2410,1762,3380,2752,2873
EEB1,2416,2244,2523,2483,2862,2485,5417,4085,4383
EFB1,19758,20825,17718,17359,16662,13046,17077,14479,14047
EFG1,611,659,408,113,144,336,413,148,71
EFM1,1724,1808,1585,2021,2320,1484,2045,1786,1897
EFM2,1116,1391,1535,562,850,718,1018,1024,747
EFM3,78,109,69,185,149,123,201,179,81
EFM4,623,887,652,614,811,706,681,788,698
EFM5,370,507,353,227,215,231,249,249,215
EFM6,357,344,251,181,183,205,247,179,169
EFR3,2539,2586,2610,1120,1176,1075,1661,1319,1075
EFT1,20389,24947,23152,11705,11142,9776,12283,11762,9903
EFT2,24159,24702,22106,13213,14457,12328,13130,11094,9965
EGD1,3752,4544,3720,2396,2849,2494,2795,2460,2251
EGD2,5610,7012,6909,5266,5695,5309,5615,5741,4934
EGH1,914,639,416,759,619,566,1018,695,914
EGO2,597,738,751,216,338,301,294,266,255
EGO4,955,928,593,3474,3385,3060,2359,1924,1742
EGT2,1353,860,649,523,948,814,1144,586,635
EHD3,1400,1660,1744,2083,1795,1640,1840,1973,1738
EHT1,2565,2246,1662,5537,5422,4975,12284,8105,8875
EIS1,6983,7055,6927,6111,6584,5867,9414,8277,8114
EKI1,2105,2497,2047,1173,1361,949,1584,1297,1053
ELA1,709,505,326,1155,975,672,1355,707,887
ELC1,494,496,548,238,399,430,379,377,320
ELF1,3619,3693,3971,1898,2187,1973,2532,2504,2342
ELG1,552,741,672,490,424,474,710,420,530
ELM1,1185,1784,1209,695,765,691,1098,831,937
ELO1,5426,4991,5023,1785,3172,2490,4099,3318,2954
ELO2,1824,1530,1196,808,820,703,806,554,559
ELO3,5712,5539,4287,1221,1427,880,1562,1276,1169
ELP2,2106,2372,2148,1480,1316,1340,1825,1646,1591
ELP3,1898,2445,1981,883,912,919,1003,860,780
ELP4,968,1061,1044,1455,1342,1324,1942,1658,1542
ELP6,249,126,234,405,354,270,458,243,270
EMA17,420,258,273,794,525,634,1018,803,745
EMA19,949,1152,845,967,1001,738,1020,869,779
EMA35,375,289,230,677,440,304,732,327,575
EMC1,1461,817,595,1565,1828,1231,2430,1297,1567
EMC10,2032,2276,2066,816,943,853,899,817,845
EMC2,1532,1474,1651,1301,1795,1264,1651,1265,1382
EMC3,2541,3168,2521,3030,3545,2754,4267,3537,3420
EMC4,1059,1189,1137,650,875,770,618,505,434
EMC5,979,1154,994,478,640,508,651,610,530
EMC6,1497,1324,1257,717,651,587,790,676,688
EMG1,1821,1933,1587,1102,1426,1223,1286,1161,942
EMI1,811,590,636,593,735,702,705,643,677
EMI2,6023,6669,6956,7211,6992,6452,11742,9903,9275
EMP24,3705,4458,3804,3052,3319,2839,3609,3485,2941
EMP46,941,656,823,759,718,519,1054,641,823
EMP47,809,253,293,796,732,770,1088,1055,988
EMP65,1205,1056,1193,926,1139,1051,1139,860,768
EMP70,2860,2644,2575,1215,1216,1245,1487,1127,986
EMT1,18,4,6,6,27,10,0,2,14
EMT2,19,28,0,4,10,12,29,9,35
EMT3,0,0,0,0,0,0,0,0,0
EMT4,0,16,0,21,11,5,6,10,11
EMT5,0,1,2,0,1,10,5,1,0
EMW1,2883,2777,2699,1305,1334,1205,1657,1154,1224
ENA1,2367,1947,1721,4195,4108,3603,4790,3205,3284
ENA2,3,1,1,11,5,5,13,2,4
ENA5,1475,1598,1328,1086,1132,984,1323,1180,957
ENB1,6558,6280,5432,8718,8974,8019,11763,9654,8682
END3,1566,1279,1187,677,762,593,1267,1296,1037
ENO1,35233,38420,36119,39653,46293,41335,39007,36368,31393
ENO2,36186,40522,35754,18143,21336,20033,20394,18304,16473
ENP1,1165,1276,1082,706,849,634,727,624,533
ENP2,1188,1304,920,610,537,607,606,541,421
ENT1,739,469,316,494,535,453,688,533,500
ENT2,1081,493,431,1355,1886,1458,2607,917,1936
ENT3,560,565,458,1568,1227,1002,1778,1247,1418
ENT4,430,247,96,858,553,479,817,375,588
ENT5,471,205,237,469,515,375,585,308,431
ENV11,649,670,487,484,535,471,801,589,514
ENV7,1136,1338,1229,1521,1390,1182,2148,1778,1531
ENV9,6096,6718,6175,5810,5913,5020,7997,7688,6526
EOS1,2276,1649,1474,2755,3462,2889,4175,2718,2838
EPL1,2994,2636,2144,6646,7043,5654,6759,5003,5041
EPO1,1799,2306,2214,1418,1443,1292,1778,1795,1470
EPS1,1245,1286,994,1606,1299,1092,1751,1281,1637
EPT1,607,788,588,499,471,407,620,412,438
ERB1,2997,2857,2855,1488,1385,1168,1226,1052,822
ERC1,1147,713,638,1817,1103,1157,1922,951,1319
ERD1,654,591,531,345,499,451,625,493,590
ERD2,1093,1158,1086,1463,1847,1483,1563,1639,1269
ERF2,1894,1899,1533,2620,2630,2353,3576,3064,2659
ERG1,4288,4122,3519,3746,3760,3406,3538,2767,2945
ERG10,7982,7514,6008,6100,6534,5981,7869,5991,6003
ERG11,1196,832,426,1654,1638,1281,1619,1013,1230
ERG12,1785,2154,1861,983,1078,955,1066,1097,862
ERG13,5062,4713,4067,2942,3442,2866,4686,3491,3629
ERG2,951,999,997,679,597,539,909,780,681
ERG20,4656,4833,4177,4473,5154,4423,4849,4196,3832
ERG24,2987,3168,3075,3720,4099,3392,3688,3198,2977
ERG25,1077,825,920,1622,1653,1324,1556,870,1079
ERG26,2881,3170,3332,1484,1622,1095,2180,2369,1719
ERG27,3954,4832,4234,3698,3862,3317,4348,4064,3535
ERG28,1074,1202,661,1256,1809,1675,1864,1136,1353
ERG29,318,155,156,310,281,273,372,319,331
ERG3,5160,3835,3085,5694,6317,5038,6613,3975,5011
