Gene,N0416,N0417,N0429,N0510,N151127,N160118,N160331
CCDC113,2.249268,0.918891,0.758981,1.958312,2.191405,4.204729,4.830934
PRSS54,0.046443,0.004583,0.107581,0.030166,0.0026,0,0.016413
NME3,8.838331,4.907084,1.350025,8.155277,13.032222,16.640137,18.891586
NDRG4,16.580233,13.14971,3.70866,14.106706,27.846668,38.801365,41.611767
PSMD7,16.849457,3.810967,2.823752,11.574817,14.737373,14.315341,19.394903
SETD6,3.81991,2.948512,1.84525,3.594785,4.799978,4.855908,5.559637
SLC38A7,0.73307,1.011962,0.661476,1.458967,2.520626,1.773805,2.15793
VAC14,0.664834,0.896788,0.833676,0.929333,6.210154,6.872066,1.496342
HAS3,0.116693,0.173802,0.279217,0.308238,0.262989,0.185754,0.157092
TANGO6,0.776365,0.802438,2.143679,0.860882,2.475727,0.93629,0.924035
COG4,5.900903,3.381808,2.350468,6.111465,7.004949,10.022504,7.780436
SMPD3,1.75087,2.078734,0.525206,2.693512,5.446022,5.973294,5.649018
SLC7A6OS,1.390463,1.329343,0.78339,1.505709,2.766275,1.129394,1.304817
SLC7A6,5.104221,7.136833,1.330558,7.074234,2.909262,4.729318,4.939214
PLA2G15,1.60701,1.264952,0.536325,2.426494,3.73192,3.382175,3.574087
ESRP2,0.590173,1.019587,0.702069,1.197865,1.285543,2.332866,2.594238
FA2H,0.120051,0.075999,0.423557,0.052856,0.201732,0.463722,0.278427
WDR59,2.852598,3.325251,1.402017,2.03668,4.275945,3.953388,3.944053
MON1B,2.716811,1.548199,0.892852,2.479096,6.570457,7.312026,9.58684
CMC2,2.096217,1.820947,0.830102,1.361307,2.320892,5.690876,3.051565
AXIN1,1.266499,1.198647,0.912272,1.353579,2.544978,3.748029,3.702289
HCFC1R1,3.623745,2.932119,1.105139,4.084198,22.027575,23.76296,21.212351
NPRL3,0.90301,1.138338,0.474105,2.336382,4.438309,2.185673,4.080137
MLYCD,0.826778,0.850708,0.869749,0.904586,1.290246,1.181874,1.128652
MPG,3.841876,0.982372,0.403073,1.313288,7.370294,4.917361,9.4331
NECAB2,0.595104,1.185779,0.27792,1.123984,2.100305,4.653859,3.13013
HSDL1,11.270523,4.607748,1.322913,9.853379,9.478753,10.549439,10.341303
TAF1C,1.048944,1.707246,1.226982,1.810573,3.455014,3.485418,2.941825
NAGPA,0.864976,0.608239,0.645091,0.955917,1.345448,1.830656,2.089974
