Gene,N0416,N0417,N0429,N0510,N151127,N160118,N160331
S1PR5,0.046789,0.058642,0.146074,0.053613,0.137507,0.04211,0.086889
CLRN3,0.009181,0.04018,0.155811,0.02375,0.00966,0.098757,0.021422
GPR157,0.127117,0.262952,0.297839,0.140001,0.475187,0.509023,1.309862
CHST13,0.039357,0.048842,0.078668,0.011276,0.259609,0.029585,0.042883
SLC36A4,2.732625,1.963538,1.191907,5.13661,6.239812,3.595177,4.995028
ZDHHC20,15.069595,4.538788,1.966906,9.092373,14.907435,13.205934,13.649392
ANKRD30B,0.020482,0.020131,0.126402,0.018951,0.000637,0.000377,0
OR51E1,0.420796,0.152629,0.287862,0.349177,0.214215,0.334543,0.428782
ZFP3,2.472224,0.662886,0.68435,1.614164,2.235477,2.90733,3.019726
ARSJ,0.094176,0.316385,0.385723,0.124917,0.303811,0.181019,0.26281
MAP3K15,0.119434,0.13859,0.153495,0.060673,0.261019,0.317069,0.365361
PPA1,37.391323,8.503346,4.972212,22.011379,32.635132,32.750771,35.547329
PSMG4,2.666852,2.272889,1.221629,3.176507,3.06072,4.312041,3.235392
BHLHE22,0.680395,0.353621,0.180871,1.158533,1.298028,0.478395,0.407367
MAP6D1,0.110438,0.14834,0.188689,0.537977,0.220404,0.212515,1.63921
ZNF443,1.311132,0.562461,0.552083,1.272472,1.183886,0.853473,1.039337
CXCR2,0.039613,0.038765,0.319015,0.04317,0.084052,0,0.005839
GREM2,0.665252,0.341275,0.177059,0.501471,1.379276,0.754538,1.291205
C11orf42,0.19856,0.262454,0.147994,0.390632,0.116558,0.169671,0.311764
SSR4,96.409813,27.670433,4.213918,60.376987,128.637024,214.048737,275.007111
CAPS2,1.829347,1.172359,0.870299,8.039723,1.962424,1.347022,1.828657
ZNF792,1.006868,0.618834,0.540644,1.167365,1.196234,1.06303,1.308032
CUEDC1,1.112978,2.684264,0.708796,2.736783,5.642567,6.308755,6.361327
SCRIB,0.388427,0.630471,0.533001,0.498168,1.90351,2.277499,2.689343
KCTD2,5.982054,4.071599,2.169604,6.922285,8.985132,9.703346,10.153422
D2HGDH,0.594978,1.680906,0.701845,1.475271,2.735127,1.876932,1.674953
OXTR,0.220496,0.1312,0.159616,0.049322,0.213132,0.147824,0.068346
CMTR2,2.252092,1.289178,0.479745,3.406589,2.347089,3.803982,4.679881
FAM83H,0.181085,0.2759,0.157319,0.188473,1.284718,1.51856,1.84548
GPR62,0.129273,0.083078,0.108378,0.117773,0.171078,0.26062,0.364955
ZNF572,0.478302,0.162023,0.35978,0.263132,0.291143,0.251774,0.575014
ST20,1.401828,0.751959,0.459696,1.450592,0.83344,0.885841,1.368759
PITPNB,9.709451,3.911634,2.935666,7.947431,15.638069,14.365823,16.654079
TCEAL8,38.172787,8.602523,4.052018,19.888741,38.74144,36.758995,41.401814
LRRC57,1.222827,1.006228,1.339253,1.376434,2.169829,2.38472,2.558474
MRPL14,4.046508,1.645172,0.753928,3.254876,6.170868,7.537678,7.162599
GPR137C,0.39221,0.194514,0.22334,0.298627,0.361189,0.842708,0.737307
C1orf105,0.031365,0.043954,0.143156,0.046151,0.024216,0.002848,0.005653
BBS12,4.362766,0.669307,0.527902,2.519186,2.694263,3.297833,2.575567
ZFP82,1.707531,0.538223,0.359184,1.609459,1.671127,0.718238,1.81393
LSMEM1,0.410295,1.739925,0.608695,0.321272,0.58606,0.130028,0.081786
NQO1,0.794542,0.948694,1.452577,0.967364,3.663435,3.032779,6.627094
AEN,2.745602,2.571517,0.667412,3.224495,5.143695,5.508666,4.7239
FKRP,1.559903,0.2979,0.645436,0.569841,1.857573,4.412506,2.961523
TRAPPC5,1.110635,0.589242,0.368999,1.100124,2.179438,2.471119,1.853147
RPH3AL,0.405445,0.960205,0.216808,0.697483,1.72667,1.086824,1.407281
SLC25A42,1.406459,0.982826,0.704078,1.643725,2.49576,3.806858,4.580574
FCRL6,0.070969,0.103098,0.21787,0.175727,0.117131,0.015763,0.04901
METTL23,5.407031,1.758056,0.975228,3.871148,5.807726,7.042275,7.441898
SLC26A11,2.932056,2.751547,0.989537,2.828211,5.401815,6.733167,7.521992
HIGD1A,30.622217,6.088953,2.964146,15.415517,30.694632,23.485928,31.623249
CHRM2,0.03638,0.024654,0.158127,0.030675,0.001585,0.006335,0.036862
MAPK15,0.085997,0.350127,0.593868,0.08422,0.126798,0.263713,0.329896
EHMT1,0.752611,1.995068,1.745852,1.769669,1.791325,1.427715,1.126372
F2R,1.909562,0.602914,1.093356,0.724678,4.004522,3.209624,3.913494
ZNF707,0.304013,0.310891,0.548919,0.493091,1.073653,0.897976,0.892947
MUC16,0.054195,0.058802,0.301373,0.039479,0.086327,0.072951,0.076542
NPM1,143.69986,32.655365,18.181103,91.770721,157.877228,139.916199,148.898224
PJA1,10.422357,3.854033,1.978059,7.49035,9.426329,11.158721,11.624108
DHTKD1,3.095203,1.597258,1.120303,2.580855,4.7929,5.225308,6.908381
PENK,0.138494,0.095083,0.156664,0.089128,0.260645,0.438575,0.359573
C4orf50,0.2534,0.344385,0.292648,0.650105,0.509805,0.798327,0.615682
H2AW,0.51896,0.153788,0.144493,0.383305,1.914831,3.186095,3.10993
ZNF746,2.07116,1.573471,0.828248,1.951124,4.175329,4.590308,5.004212
POLR2A,3.177506,5.346601,2.562711,4.689187,13.49942,14.74127,14.555653
SLC25A41,0.015224,0.043173,0.156847,0.016771,0.025005,0.022161,0.019396
TLCD5,1.988857,1.600948,1.336154,2.373807,1.885327,2.100921,2.637008
FRAT2,0.417406,0.20406,0.396787,0.492834,1.516526,1.296943,1.534727
TMEM102,0.050262,0.050163,0.044066,0.033625,0.270762,0.233496,0.248265
TMEM132E,0.020919,0.039558,0.197132,0.010047,0.044349,0.008253,0.101981
ZNF322,6.552479,1.574442,1.131561,4.581812,5.752423,5.648411,6.099399
NME9,0.595176,0.335121,0.444694,0.871844,0.448974,0.69961,0.581458
HEPHL1,0.167766,0.081104,0.1924,0.028443,0.088553,0.120355,0.039866
LRRC75A,5.229939,2.491704,0.877194,5.630929,7.096251,7.738668,8.856925
CFAP65,0.346113,0.179223,0.232635,0.718761,0.696529,1.107903,0.391719
DDX60L,1.560588,1.16474,1.221599,2.678523,2.516935,1.770364,2.301307
SYNE4,1.068544,0.831265,0.390712,2.61063,1.648727,3.190582,2.500516
OGFOD3,0.871036,1.609298,0.548192,2.115164,5.895573,2.70503,6.817136
WASHC1,0.666497,0.666209,0.328336,1.009152,0.932129,1.101524,1.244818
AATK,1.38591,1.925402,0.435964,2.037857,2.974072,2.628543,4.776683
DDN,0.02908,0.0634,0.112103,0.12347,0.170255,0.242169,0.538989
ZNF467,0.228019,0.459549,0.258519,0.243983,2.473093,3.720695,2.799084
SOX2,1.290351,1.747728,6.112926,1.373725,5.508682,6.460751,14.478528
ZNF678,2.938866,1.128283,0.673336,2.477501,1.957093,2.491919,2.128229
TMEM45A,6.385462,2.215379,0.822505,6.252123,5.048737,7.305054,10.77043
RAP2B,0.487517,0.319358,0.366358,0.406326,4.311349,1.330926,2.857408
ZBTB2,1.137598,0.644732,0.540984,0.801312,2.242136,1.379178,2.099572
RNF135,0.448065,0.359834,0.587147,0.783171,3.579691,1.751634,2.537381
ACBD4,1.345176,1.294965,0.662185,1.270631,2.026946,2.499138,2.5799
SGSH,1.025898,2.115138,0.928517,1.27059,5.377936,5.340027,8.405799
MAB21L2,0.700602,0.978452,0.298451,1.256525,0.478336,0.314422,0.215275
FANCB,0.319429,0.117278,0.357705,0.333448,0.313503,0.163861,0.221873
SETD2,8.985528,6.728359,3.548056,8.344167,10.797131,10.657413,11.856831
TMIE,2.054549,0.748797,0.417879,1.985444,1.582324,2.925766,3.717846
MEX3D,0.442068,0.804992,0.419999,0.641223,3.789562,3.705413,4.172244
MRPS23,2.456534,0.98307,0.778145,2.367054,2.614729,2.782435,3.298516
OR52H1,0.115678,0.236823,0.484877,0.189987,0.14413,0.050749,0.043996
GPR135,1.456172,1.664415,1.059052,1.646197,1.538074,2.017765,1.978897
SLX1B,1.70703,0.991013,0.58325,1.588298,2.794199,2.949433,2.799498
P2RY13,0.589176,0.495211,0.535855,0.819854,0.869332,0.514683,0.839735
TNFSF15,0.076059,0.083406,0.259786,0.080179,0.251898,0.070802,0.115686
ZFP41,0.375977,0.582432,0.349378,0.719105,1.766693,1.572011,1.822877
PHLDA2,0.011183,0.047641,0.045432,0.018787,0.37868,0.141915,0.536794
ATG9B,0.141464,0.202591,0.199629,0.180889,0.713101,0.691355,0.717263
GPR88,0.068211,0.100956,0.461449,0.087665,0.8225,0.04737,0.343025
ZNF875,9.340701,4.036367,2.42024,2.802132,4.795286,6.6969,4.887146
PLAG1,3.896642,1.551485,0.5687,2.501999,3.226902,3.115422,2.78936
YIPF6,15.295994,4.397809,1.900523,10.474113,18.104389,16.810873,19.475449
ZBTB20,6.112877,17.379377,2.945216,5.335485,7.150117,12.077955,5.948231
DIPK2A,1.969938,1.597296,2.384366,1.294658,4.111953,2.590758,4.046941
MACIR,1.571175,0.907861,0.548417,2.224355,2.474923,3.033428,2.683768
AMIGO1,2.102304,1.521711,0.737266,3.102031,3.499819,3.896926,5.078253
GPR3,0.108346,0.850917,0.17474,0.117328,0.448958,0.236406,0.782116
TMEM252,0.035012,0.017935,0.178062,0.090846,0.291659,0.086538,0.133058
ODF3L2,0.010543,0.069664,0.115904,0.024706,0.14146,0.065926,0
SIAH2,2.483343,1.669278,0.763809,1.641323,4.217912,3.262692,5.680355
COPG1,36.896759,13.135472,4.924568,31.802433,41.254654,50.666195,55.585957
ADGRB1,0.131505,0.473571,0.302233,0.134821,0.89766,1.270722,1.494194
SLC9A9,1.975407,1.685299,1.306644,1.167996,3.650297,2.297945,3.475775
LSM10,1.336408,0.820914,0.442683,1.520122,7.369215,8.265328,9.889843
RELL1,1.479743,1.670866,1.483624,1.251894,5.635386,3.086166,6.139996
RFX7,1.729753,1.387951,0.770334,1.907447,3.285466,3.4608,3.43728
SLC35C1,0.957905,0.940688,0.308881,1.15777,2.966729,3.08521,5.196308
TIGIT,0.060364,0.218316,0.213146,0.076492,0.17439,0.0728,0.038767
RNF41,4.40396,2.750919,1.312774,5.142867,6.328632,6.509396,6.008413
SLC2A4,0.231866,0.288033,0.115579,0.213036,1.059429,0.886268,0.853423
IBA57,0.20698,0.296459,0.263787,0.353601,0.974206,0.729426,0.963023
CLDN7,1.636535,0.794516,0.361308,1.026583,2.881524,4.24533,4.453288
ZNF329,3.637322,1.160766,0.697658,2.580047,3.113263,3.202924,3.207963
ZNF101,0.677326,0.427063,0.432008,0.74529,1.150159,1.000051,1.23422
C5orf24,7.367574,2.730454,1.833973,6.427454,10.142884,9.888493,12.435107
ADO,2.43493,0.94958,0.764829,1.727115,3.482414,3.08176,4.766979
COA4,8.531537,2.565213,1.499608,5.819251,11.234475,13.104647,16.542025
PRKAG1,4.351974,4.313383,0.663391,11.414163,6.623014,5.760393,15.48294
GINS3,0.113462,0.145354,0.290428,0.090334,0.066035,0.364899,0.124954
CCDC149,1.748024,1.880579,0.903158,2.711004,3.10839,3.208352,3.672996
MRPS11,2.791112,0.592022,0.466516,1.841217,2.241361,2.836101,2.512996
SNRPE,7.435932,1.276848,0.91177,3.889267,7.25855,6.12104,8.414698
RTKN2,1.428848,0.101521,0.114821,0.25158,0.724615,0.403106,0.238383
PNMA8A,14.135879,7.221607,3.09823,17.03417,23.80817,31.666052,27.145948
CHST15,0.882646,1.379299,1.517606,0.940462,7.642275,2.202986,4.346142
USH1G,0.036429,0.020436,0.074998,0.008631,0.0121,0.024757,0.053799
MGAT4C,1.256653,0.520159,0.221178,1.06247,0.544005,0.269401,0.20821
IDH2,2.180859,1.433879,1.015419,2.458634,5.936673,5.995404,8.707541
TMEM259,5.722923,7.427322,2.774509,8.895497,17.604437,17.21653,18.554146
GET1,16.761808,5.561265,3.287162,11.719527,17.087563,15.974765,16.662701
TNRC18,0.630912,3.263052,1.85677,1.505466,11.693408,10.898607,12.436905
FAM181B,0.179582,0.159677,0.331037,0.305444,0.774605,0.973648,0.894628
TMEM30B,8.223237,5.034096,1.108237,5.608043,18.872337,21.406574,23.452948
DEXI,0.869687,0.751433,0.523533,0.982277,1.832341,2.262817,1.893586
NOP10,13.509086,2.927847,2.166878,6.491634,17.519238,16.610842,19.874454
FAM89A,1.463519,0.554235,0.223197,0.691618,1.8139,1.646362,2.650358
KCNIP1,0.144215,0.034472,0.077595,0.023622,0.860819,0.006941,0.290308
TDRKH,1.220385,1.182137,0.570603,1.539892,1.514678,1.828857,2.002318
ZNF708,5.19935,1.880426,2.227136,3.589529,4.943535,5.848406,5.070418
IST1,15.654715,13.710208,4.898936,16.268373,17.034428,14.444589,16.460915
ERCC6L2,6.786676,4.284942,2.364575,5.962087,6.457917,5.488287,6.959221
MRPL41,4.290172,2.66184,1.510026,3.898471,16.562679,20.479984,25.123657
CREB3L2,8.854544,8.431865,2.508334,10.884255,25.971245,27.358356,27.795549
P2RY8,0.12504,0.14949,0.142198,0.064921,0.696813,0.19504,0.402372
UNC5C,0.1647,0.843378,1.341385,0.211534,1.339461,0.161473,0.967856
TSEN54,0.887554,1.155897,0.522394,1.244045,1.293433,1.763687,2.03918
RGMA,0.062471,0.391148,0.808442,0.144925,1.04778,1.192042,1.383851
ASB18,0.037754,0.036912,0.213208,0.033428,0.005228,0.012476,0.011172
UBA7,1.168763,1.74423,1.795219,1.20124,2.79911,2.265075,2.698717
MRPS16,7.090524,2.564043,1.496456,5.774144,11.187158,9.819715,12.243027
SHISAL2A,0.181046,0.045805,0.437094,0.093384,0.112669,0.49247,0.701176
RAD51B,3.368193,1.399793,0.432119,1.393167,0.787844,0.502633,0.207285
LDOC1,1.707967,1.332315,0.588216,1.568594,15.983299,19.12335,21.053932
ARL6IP4,18.90378,4.237781,1.779506,9.490952,30.675598,33.931152,34.867172
EXT1,0.945067,1.093863,0.806789,1.052752,2.182071,1.434127,1.962798
SHMT2,3.309863,0.677014,0.831715,2.913549,6.24606,2.84162,3.482181
MOB2,2.253218,1.07592,0.94699,2.505083,3.798778,1.954496,4.442278
HHIPL1,0.061585,0.166358,0.267833,0.089748,0.383121,0.479792,0.510668
ATP6AP2,19.546968,7.554587,5.821048,15.166862,31.451786,27.354069,36.854313
ZAR1,0.098882,0.102112,0.124076,0.252654,0.149149,0.318858,0.35649
CYB5D1,6.334276,3.140489,1.555027,4.858581,5.908206,8.239265,7.797469
FAM153B,1.655515,2.959934,1.963673,1.495205,0.715853,0.700026,1.240389
BACE2,0.650843,0.299015,0.236067,0.358701,1.742687,1.763971,1.146132
UBE2E2,2.353855,1.504119,1.124524,4.905347,8.341218,4.143565,10.208826
SYNM,2.459418,2.60366,8.684387,3.350283,3.911333,11.367586,20.93482
KCNA4,0.757316,0.784354,0.335492,1.41924,1.962188,2.97457,2.074144
GABRG3,0.908303,1.190272,1.403512,0.987325,1.179309,2.116676,3.081719
FIGN,0.838641,1.032147,1.695501,1.074579,2.082521,2.152853,2.68249
IZUMO1,0.036308,0.159467,0.160067,0.037979,0.019347,0.043644,0.043741
B4GALNT4,0.287822,0.729252,0.445199,0.416307,1.738558,1.8076,2.26463
AP1S2,12.090234,3.825969,1.767786,11.236135,6.825495,9.8937,12.387053
C8orf33,4.495378,1.507979,1.100862,3.447134,6.908553,7.134207,9.558706
DCAF4L1,0.336077,0.21621,0.137258,0.396753,0.10259,0.213017,0.107219
SPACA6,0.845808,1.32866,1.59964,1.409754,1.591078,1.395602,2.320262
ZSCAN22,0.779581,0.977273,0.461163,1.277615,0.922788,0.947114,1.18929
KCNJ14,0.072321,0.155073,0.16645,0.105127,0.180042,0.119518,0.248625
FBXL6,0.647949,0.46883,0.267021,0.559577,1.085254,1.263922,1.333433
C1S,2.062374,5.539703,6.04104,3.470244,58.054256,17.442656,34.556541
GLTPD2,0.646809,0.774331,0.160802,0.857171,2.699061,2.949924,2.212863
KIAA2012,0.169659,0.474205,0.346455,0.321272,0.195422,0.314521,0.247311
ZNF804B,0.088898,0.037248,0.183183,0.154458,0.106332,0.237975,0.34388
KBTBD3,6.043019,1.574224,0.957889,3.91824,3.550694,2.90969,3.682308
YBEY,4.111647,2.121868,0.964589,3.774184,5.440014,6.458847,5.228969
CLN8,0.651646,0.476246,0.425027,0.78421,1.643288,0.840051,1.304909
PLCXD1,0.139316,0.31609,0.192082,0.372206,0.306323,0.566823,0.269179
NXPH4,0.013678,0.041373,0.135587,0.033513,0.012571,0.210454,0.233325
CACNB4,2.796766,2.01333,1.958641,5.093557,2.576134,2.825135,1.912444
TRAPPC6B,5.233783,1.168831,0.889361,6.580931,5.348198,5.222879,6.372173
PGBD4,0.70989,0.251803,0.176709,0.644779,0.551826,0.602317,0.539302
NPLOC4,4.631597,4.720306,1.833593,5.076205,10.509007,11.663364,11.944794
TEX19,0.025535,0.045536,0.203912,0.032654,0.022976,0.008243,0.012866
TSHZ2,0.764692,0.897362,0.857697,0.950671,0.28185,1.27458,2.356075
CAPN12,0.054289,0.092006,0.085916,0.134933,0.092396,0.209007,0.153153
EXOC7,6.316728,5.437459,4.319082,10.119201,11.419925,11.436109,12.983116
KPNA2,6.259746,3.28788,1.483062,3.883502,8.728547,7.366035,7.474219
WASH6P,0.364594,0.807362,0.859099,0.885789,0.917827,1.026681,0.749872
XKRX,0.914555,0.20459,0.268124,0.33673,1.408677,1.063739,0.550142
BGN,1.415346,3.805461,2.933285,1.992394,71.810196,21.049402,41.304096
CEP97,4.538013,1.643152,1.236784,3.902885,4.054274,4.378458,4.633945
LHFPL1,1.056113,1.100831,0.753932,1.4552,2.668066,3.893808,4.008783
FES,0.315361,0.39301,0.707442,0.315058,1.874815,0.87844,1.367612
GLRX5,7.836799,1.701198,1.060773,6.49408,12.052158,11.691504,13.134558
FAM104B,3.53873,0.804897,0.461623,1.594973,3.304937,2.918293,3.128517
CAV3,0.04778,0.047578,0.147054,0.050073,0,0.008409,0
MXRA7,3.793375,3.912847,5.718191,4.46579,19.329662,19.796139,20.862993
LIMK2,3.526865,3.91301,1.796658,5.474724,6.120671,5.899454,6.370708
MFSD5,1.471122,0.358625,0.46564,1.592734,4.163917,3.929558,4.7821
RNASE10,0.050234,0.07055,0.192089,0.062078,0.041197,0.005261,0.021609
ADI1,3.423805,1.374424,0.663477,1.86469,3.637867,8.286315,9.404588
RWDD4,9.645919,2.876421,1.717456,5.977234,11.225876,12.327823,18.481323
SPNS3,0.03564,0.014226,0.132036,0.023481,0.033323,0.004465,0.037094
SATB1,8.253429,6.686409,1.069155,8.430107,4.699073,5.802872,4.742315
NXPH3,0.816679,0.71957,0.602185,1.11738,2.075613,1.524153,2.251648
CSF1R,1.891464,1.860523,1.353243,1.594676,14.962499,2.227976,5.670164
EPHB3,0.124239,0.505358,0.373405,0.354688,1.252992,1.201686,1.051166
ACTL10,0.208309,0.065082,0.116669,0.168816,0.366691,0.505291,0.533919
EPGN,0.048593,0.027251,0.142691,0.049523,0.027953,0.026992,0.03923
SNORC,0.417416,0.256643,0.334177,0.495059,0.799431,1.029397,0.74259
TRAK1,1.290074,1.891497,1.865336,1.758419,2.731011,2.852695,3.32941
TSPAN10,0.106498,0.027336,0.132443,0.14153,0.110211,0.268116,0.389834
PLCB1,2.89577,2.614679,0.989576,3.942341,2.540059,3.215427,4.015799
SKA2,6.741964,2.212746,2.138273,5.043479,9.618445,10.15445,10.758558
RXFP3,0.02621,0.033196,0.185078,0.068547,0.113707,0.238297,0.62778
NDN,7.515947,2.362854,0.893933,5.243223,13.409917,14.960451,17.654522
NTM,0.10694,0.166073,0.894696,0.005944,0.528056,0.001256,0.459792
TTC3,34.938248,25.26734,8.405041,28.378138,35.928749,39.265697,49.174732
KCNB2,1.287767,1.471411,0.564691,1.443995,1.745363,2.466038,3.174047
PPP1R27,0.271209,0.124853,0.178852,0.579166,0.172349,0.827938,1.536001
BRICD5,0.381138,0.460095,0.390598,0.850347,0.279658,0.273429,0.332237
GALR2,0.041759,0.03894,0.085904,0.010326,0.104569,0.043274,0.033368
IGIP,8.875708,3.646373,1.873755,8.463288,6.669223,6.947151,8.379696
TSKU,0.61018,0.876588,1.068176,0.700859,6.612617,4.807068,7.974958
CMC4,2.910516,1.673802,0.906024,2.84809,4.463095,6.508934,5.120236
ANXA2,17.565708,13.613843,13.699022,12.789532,67.746605,34.172508,49.630028
RGS6,0.416545,0.584262,0.669027,0.680955,0.603453,0.023638,0.395711
HOXB4,0.026377,0.035743,0.060241,0.044981,0.044806,0,0.04918
PAQR7,0.940634,0.727,0.702192,1.276545,3.221125,3.380236,6.26888
PAPPA,0.08979,0.325654,0.397836,0.136996,0.764678,0.276986,0.515667
MAFA,0.013216,0.059417,0.056739,0.008001,0.143481,0.039179,0.143851
NGRN,21.073948,9.524538,4.698192,18.090187,28.755623,31.411917,38.17466
GRID1,0.262737,0.13301,0.41989,0.293593,0.252464,0.162212,0.492985
RPS17,97.821289,17.423491,8.524639,52.056564,110.49942,117.212944,130.227753
HCAR2,0.055465,0.09602,0.228253,0.044965,0.086497,0,0
CCDC87,0.311578,0.15095,0.09665,0.238454,0.354034,0.423299,0.279654
C1orf116,0.038797,0.063856,0.148909,0.062936,0.168894,0.07062,0.121501
CRIP2,12.384286,8.579381,3.765247,10.120817,40.553978,42.854156,48.951614
DDX28,1.155865,0.184168,0.196703,0.94408,1.949518,1.985527,1.896641
ACBD3,17.033175,5.591465,2.060639,11.256877,15.60294,16.807499,20.708847
C16orf72,15.193438,10.062739,4.526467,10.814087,21.451431,19.741156,27.815174
PLCXD3,10.708812,2.374009,0.584572,5.260288,6.595555,6.833751,5.186097
VMO1,0.974848,2.007254,0.221949,1.078101,9.571495,12.162462,6.596196
ALG12,0.707496,0.794703,0.498173,0.829727,1.761592,1.639467,1.726912
LCK,0.159699,0.085451,0.299307,0.146639,0.568362,0.008897,0.144133
GALNT9,0.042979,0.330148,0.158512,0.112878,0.155346,0.248849,0.316896
COL18A1,0.979363,2.102719,1.578813,1.553762,6.400257,7.242045,11.38517
RBM10,4.214067,3.18879,1.429587,4.065496,6.705009,8.833959,9.554609
ADGRG3,0.01747,0.052324,0.144073,0.044649,0.038178,0.006642,0.014407
GLUD2,0.139925,0.131794,0.223739,0.124106,0.183765,0.166336,0.266756
TMEM95,0.034791,0.027752,0.113372,0.038109,0.004451,0.005826,0.004343
RPL35A,108.945709,19.537579,7.748631,59.058826,94.071907,82.180565,101.511566
RGS7,1.18771,0.524664,0.330287,1.614769,1.368016,1.866095,1.973767
SLC25A18,0.091152,0.158059,0.268458,0.109602,0.252293,0.15991,0.202437
ZNF721,6.553324,5.560011,2.203088,5.817192,6.636406,6.853601,6.838011
TCEAL7,17.781891,5.134244,2.403796,9.136794,12.683922,15.189098,14.634746
C11orf54,4.485393,1.825873,0.918355,2.770468,5.113086,5.76184,4.330191
CEP63,2.901896,1.573995,1.788331,2.826418,4.032588,3.644213,4.197494
SRPRA,12.512512,10.607854,3.533644,14.441936,32.809185,33.888451,43.011497
EWSR1,30.527275,10.84472,4.036419,15.787968,32.799282,31.847853,36.985344
ODF3L1,0.055943,0.204742,0.146661,0.033243,0.264599,0.103707,0.133254
HMGN4,6.948079,3.030359,2.246064,5.387279,9.61528,8.751585,12.145247
SPATA13,2.142274,2.89092,2.020994,3.450474,2.182604,2.685658,4.548487
GJC1,0.058519,0.260933,0.480397,0.340069,0.498807,0.208794,0.453318
SOX1,0.025187,0.035467,0.179643,0.049018,0.024901,0.023534,0.041041
CNOT10,7.639634,2.567013,0.928833,7.877939,6.817016,7.208048,7.210338
MTA1,3.145174,3.352352,1.748384,3.272857,12.149602,14.548186,16.872686
ZNF662,1.521389,1.103445,1.065591,1.899719,1.632327,1.325161,1.554083
CADM1,19.886755,8.93562,6.148474,18.701221,14.100806,18.30439,17.473499
ZNF320,3.372299,0.836116,0.927691,1.13187,1.431877,1.300619,1.160315
C12orf60,0.371247,0.202736,0.443768,0.298165,0.5256,0.355165,0.938993
PYCR1,2.357213,0.883567,0.100037,2.25068,2.708654,3.629376,7.033773
NAA38,8.630292,3.078559,1.479201,6.209304,10.694648,19.96245,23.541525
SPNS2,0.112177,0.09674,0.527943,0.143405,1.137869,0.555744,0.970763
AP2A2,1.806648,2.748368,0.962579,2.069612,5.523781,5.259921,5.912806
SLC8A1,7.152467,0.85601,0.874049,1.792762,4.269124,4.074493,2.241486
SLC25A21,0.19852,0.075599,0.191731,0.133416,0.277871,0.221867,0.229648
PCP4,0.279548,0.469457,0.500331,0.740223,1.227762,3.304327,1.92253
ABAT,28.243748,4.347117,2.916696,25.265474,34.390442,39.499775,41.688431
SLC25A10,0.29736,0.432676,0.285985,0.648281,1.196939,1.0801,1.757488
CAMK1D,0.527543,0.924817,0.627641,0.545866,1.96163,1.172633,2.095651
RGPD6,9.083348,8.298888,2.92738,7.328658,7.907634,7.358323,7.296392
LYSMD4,1.147109,0.400283,0.499914,1.00057,0.65246,0.745487,0.836283
WBP2NL,0.110762,0.330546,0.300381,0.259449,0.177431,0.162348,0.170302
IGSF5,0.150008,0.294698,0.447184,0.09847,0.119763,0.041639,0.078962
AFMID,0.893101,0.982857,0.705201,1.324499,1.538412,1.104728,2.049968
GAS6,1.349423,1.771798,1.415864,1.864334,15.25421,14.619378,21.574072
FREM3,0.03375,0.055334,0.145033,0.05632,0.052031,0.199491,0.296378
NEB,0.372144,0.922995,0.947226,0.513504,1.123367,0.402092,0.393766
BEGAIN,0.619228,1.023576,0.462413,1.039345,1.670498,2.658452,3.909498
GPC6,0.96883,1.584981,2.077551,0.870933,6.673826,2.089027,5.041209
ARHGEF37,1.034969,1.05956,1.575063,1.582222,2.978534,2.627566,2.352932
FAM43B,0.006773,0.051736,0.112792,0.04912,0.08995,0.142764,0.204844
CSMD1,0.026059,0.039315,0.742892,0.216764,0.004167,0.006925,0.01366
PTGDR2,0.210952,0.111209,0.123782,0.132563,0.174526,0.259963,0.39929
CEP57L1,1.217734,1.226227,1.020287,1.314239,0.931236,2.428684,1.545604
RIPPLY3,0.027613,0.039506,0.123425,0.044478,0.035166,0.119911,0.084546
ANKRD20A2P,0.542407,0.761266,0.406942,0.84471,0.365686,0.379242,0.369378
GPR19,2.253436,1.550043,0.837101,2.779159,2.545266,2.672309,4.11879
GJD3,0.108491,0.069298,0.131203,0.065797,0.668111,0.593989,0.662415
RABIF,1.23358,0.459309,0.508512,0.972259,2.248144,2.173182,2.688472
TMEM119,0.165486,0.158823,0.501541,0.275481,4.945762,0.473012,2.623013
FANCF,3.230968,1.058172,0.430256,3.006065,3.480466,5.615615,4.964119
CALN1,0.025246,0.040829,0.198888,0.032214,0.042891,0.006668,0.670201
SMDT1,0.792569,0.481499,0.180047,0.836175,3.701979,3.93523,3.213495
C2CD4C,0.043792,0.146307,0.098728,0.114314,0.198537,0.170019,0.242426
CHST6,0.045749,0.26123,0.390841,0.206218,0.586382,0.646208,0.844353
RUVBL2,6.986033,2.607642,0.992781,3.72531,9.08077,11.263817,10.97495
GDPGP1,1.598011,1.067455,0.486853,1.451682,1.235472,3.133369,3.595804
MICA,0.011513,0.131461,0.029475,0.108756,0.671237,0.019604,0.474759
CTNNA3,0.342174,0.131104,0.41217,0.131031,0.11021,0.039143,0.246542
RIMBP3C,0.038992,0.035433,0.081391,0.039235,0.090106,0.080161,0.059326
PRR36,0.13494,0.498614,0.298338,0.249536,5.46618,9.191421,9.165174
PTTG1IP,11.339399,8.456945,3.820193,11.057462,31.851656,22.735355,32.909531
DDX41,3.256492,2.430186,1.380992,3.826923,6.564004,6.534479,6.502018
CCDC60,0.048307,0.051809,0.637438,0.060642,0.022097,0.109993,0.007484
PLGLB1,0.437025,0.360647,0.229948,0.778008,0.211604,0.189458,0.126143
